instance_id,order,class_index,presentation_seed,hidden_rows,seed_rows,seed_digest,target_digest,block_size,policy,tie_repetition,tie_seed,max_nodes,max_seconds,solved,termination,elapsed_seconds,nodes,backtracks,dead_ends,candidate_evaluations,exact_prunes,symmetry_prunes,completed_rows,scoring_calls,scoring_seconds,solution_digest,verification_passed
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,all_pair_lexicographic,0,44125636,300000,30.0,True,solved,0.10178399994038045,890,858,858,3540,2536,69,10,406,0.019383400329388678,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,lexicographic,0,44125636,300000,30.0,True,solved,0.07371360005345196,545,513,513,2172,1582,21,4,0,0.0,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,all_pair_lexicographic,1,54125655,300000,30.0,True,solved,0.12937070010229945,890,858,858,3540,2536,69,10,406,0.02301960065960884,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,lexicographic,1,54125655,300000,30.0,True,solved,0.05443289992399514,545,513,513,2172,1582,21,4,0,0.0,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,all_pair_lexicographic,2,64125674,300000,30.0,True,solved,0.10480700002517551,890,858,858,3540,2536,69,10,406,0.01887389807961881,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,2,lexicographic,2,64125674,300000,30.0,True,solved,0.05223270005080849,545,513,513,2172,1582,21,4,0,0.0,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,4,all_pair_lexicographic,0,46125642,300000,30.0,True,solved,0.10505180002655834,304,288,288,4600,4065,145,9,62,0.006679000565782189,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,4,lexicographic,0,46125642,300000,30.0,True,solved,0.11421939998399466,256,240,240,4016,3668,55,4,0,0.0,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,4,all_pair_lexicographic,1,56125661,300000,30.0,True,solved,0.10280710004735738,304,288,288,4600,4065,145,9,62,0.005978000117465854,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
d16-c0-h4-s21864815,16,0,21864815,4,12,48ccfef7f142571e4f0b4c6aa4e6c66d012bb3d0cf526a854a8440724a2838e1,b7faa5b885b41898600fc0346af01157dfe9859be4cad07caa2f46dabc3eb156,4,lexicographic,1,56125661,300000,30.0,True,solved,0.08069140010047704,256,240,240,4016,3668,55,4,0,0.0,6dd7de846866f0a246b0ba90bd2e95862634d24526a7120336db49983a66132e,True
